derived_race,action_taken,loan_amount,loan_to_value_ratio,property_value,income,debt_to_income_ratio,applicant_age
White,1,435000.0,95.0,465000,209000.0,45.0,49.5
White,1,245000.0,90.0,275000,50000.0,46.0,49.5
White,1,385000.0,99.5,395000,80000.0,48.0,39.5
White,1,555000.0,93.814,595000,243000.0,25.0,39.5
White,1,375000.0,95.0,395000,155000.0,33.0,39.5
White,1,265000.0,90.0,295000,115000.0,25.0,29.5
White,1,395000.0,80.0,495000,176000.0,44.0,49.5
White,1,275000.0,95.0,285000,113000.0,33.0,49.5
White,1,205000.0,90.0,235000,45000.0,48.0,39.5
White,1,185000.0,97.0,195000,70000.0,25.0,39.5
White,1,305000.0,88.0,355000,63000.0,49.0,29.5
White,1,295000.0,96.95,305000,84000.0,49.0,24.0
White,0,485000.0,101.75,475000,109000.0,60.0,49.5
White,0,515000.0,85.0,575000,134000.0,48.0,49.5
White,0,115000.0,95.0,115000,115000.0,39.0,49.5
White,0,285000.0,100.0,295000,80000.0,42.0,24.0
White,0,245000.0,80.0,305000,0.0,20.0,29.5
White,0,235000.0,95.0,245000,52000.0,42.0,59.5
White,0,495000.0,99.091,495000,167000.0,45.0,49.5
White,0,215000.0,85.0,255000,66000.0,47.0,49.5
White,0,275000.0,101.75,275000,66000.0,60.0,39.5
White,0,425000.0,95.0,455000,79000.0,60.0,29.5
White,0,85000.0,95.0,95000,51000.0,33.0,69.5
White,0,145000.0,90.0,165000,75000.0,33.0,39.5
White,0,585000.0,95.0,625000,85000.0,60.0,49.5
Black or African American,1,435000.0,95.0,465000,209000.0,45.0,49.5
Black or African American,1,245000.0,90.0,275000,50000.0,46.0,49.5
Black or African American,1,385000.0,99.5,395000,80000.0,48.0,39.5
Black or African American,1,555000.0,93.814,595000,243000.0,25.0,39.5
Black or African American,1,375000.0,95.0,395000,155000.0,33.0,39.5
Black or African American,1,265000.0,90.0,295000,115000.0,25.0,29.5
Black or African American,1,395000.0,80.0,495000,176000.0,44.0,49.5
Black or African American,1,275000.0,95.0,285000,113000.0,33.0,49.5
Black or African American,1,205000.0,90.0,235000,45000.0,48.0,39.5
Black or African American,1,185000.0,97.0,195000,70000.0,25.0,39.5
Black or African American,1,305000.0,88.0,355000,63000.0,49.0,29.5
Black or African American,1,295000.0,96.95,305000,84000.0,49.0,24.0
Black or African American,0,485000.0,101.75,475000,109000.0,60.0,49.5
Black or African American,0,515000.0,85.0,575000,134000.0,48.0,49.5
Black or African American,0,115000.0,95.0,115000,115000.0,39.0,49.5
Black or African American,0,285000.0,100.0,295000,80000.0,42.0,24.0
Black or African American,0,245000.0,80.0,305000,0.0,20.0,29.5
Black or African American,0,235000.0,95.0,245000,52000.0,42.0,59.5
Black or African American,0,495000.0,99.091,495000,167000.0,45.0,49.5
Black or African American,0,215000.0,85.0,255000,66000.0,47.0,49.5
Black or African American,0,275000.0,101.75,275000,66000.0,60.0,39.5
Black or African American,0,425000.0,95.0,455000,79000.0,60.0,29.5
Black or African American,0,85000.0,95.0,95000,51000.0,33.0,69.5
Black or African American,0,145000.0,90.0,165000,75000.0,33.0,39.5
Black or African American,0,585000.0,95.0,625000,85000.0,60.0,49.5
