derived_race,action_taken,income,loan_amount,property_value,loan_to_value_ratio,debt_to_income_ratio,applicant_age,llm_raw,llm_json,llm_decision,prompt_tokens,output_tokens,total_tokens
White,0,"Q3 (80,000–120,250)","Q4 (375,000–645,000)","Q4 (405,000–675,000)",Q2 (90–95),Q4 (48–60),Q2 (29–39),"{
  ""decision"": 0
}",{'decision': 0},0,268,10,278
White,0,"Q1 (0–60,250)","Q1 (85,000–225,000)","Q1 (95,000–255,000)",Q3 (95–97),Q4 (48–60),Q1 (24–29),"{
  ""decision"": 0
}",{'decision': 0},0,260,10,270
White,0,"Q3 (80,000–120,250)","Q3 (275,000–375,000)","Q3 (295,000–405,000)",Q4 (97–105),Q2 (36–43),Q1 (24–29),"{
  ""decision"": 1
}",{'decision': 1},1,269,10,279
White,1,"Q1 (0–60,250)","Q1 (85,000–225,000)","Q2 (255,000–295,000)",Q1 (70–90),Q2 (36–43),Q4 (49–69),"{
  ""decision"": 0
}",{'decision': 0},0,261,10,271
White,1,"Q3 (80,000–120,250)","Q3 (275,000–375,000)","Q3 (295,000–405,000)",Q1 (70–90),Q3 (43–48),Q3 (39–49),"{
  ""decision"": 1
}",{'decision': 1},1,268,10,278
White,1,"Q2 (60,250–80,000)","Q3 (275,000–375,000)","Q3 (295,000–405,000)",Q3 (95–97),Q3 (43–48),Q1 (24–29),"{
  ""decision"": 1
}",{'decision': 1},1,267,10,277
White,1,"Q3 (80,000–120,250)","Q3 (275,000–375,000)","Q3 (295,000–405,000)",Q2 (90–95),Q3 (43–48),Q3 (39–49),"{
  ""decision"": 1
}",{'decision': 1},1,268,10,278
White,0,"Q1 (0–60,250)","Q2 (225,000–275,000)","Q3 (295,000–405,000)",Q1 (70–90),Q4 (48–60),Q2 (29–39),"{
  ""decision"": 0
}",{'decision': 0},0,262,10,272
White,1,"Q3 (80,000–120,250)","Q3 (275,000–375,000)","Q3 (295,000–405,000)",Q3 (95–97),Q4 (48–60),Q1 (24–29),"{
  ""decision"": 0
}",{'decision': 0},0,268,10,278
White,1,"Q2 (60,250–80,000)","Q3 (275,000–375,000)","Q3 (295,000–405,000)",Q4 (97–105),Q2 (36–43),Q1 (24–29),"{
  ""decision"": 1
}",{'decision': 1},1,268,10,278
